season,team,home_matches,home_points,home_wins,home_draws,home_losses,home_gf,home_ga,away_matches,away_points,away_wins,away_draws,away_losses,away_gf,away_ga,matches,points,wins,draws,losses,ga,gf,gd,ppg,draw_ratio,loss_ratio,gd_per_match,gf_per_match,ga_per_match,home_gd,away_gd,home_win_ratio,away_win_ratio,win_ratio,champion,champion_probability
2004/05,Liverpool,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.5,1,0.9200374507371074
2006/07,Chelsea,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.5,0.0,0.5,0.0,0.5,0.5,1.0,-1.0,1.0,0.0,0.5,1,0.478035492313505
2008/09,Manchester United,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,6.0,2.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,1.5,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1,0.99079689374799
2014/15,Norwich City,20.0,37.0,11.0,4.0,5.0,41.0,20.0,21.0,40.0,12.0,4.0,5.0,35.0,23.0,41.0,77.0,23.0,8.0,10.0,43.0,76.0,33.0,1.8780487804878048,0.1951219512195122,0.24390243902439024,0.8048780487804879,1.853658536585366,1.048780487804878,21.0,12.0,0.55,0.5714285714285714,0.5609756097560976,1,0.9145704172361102
2015/16,Reading,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1,0.9810621329112602
2016/17,Nottingham Forest,1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1,0.9764489044031655
2017/18,Wolverhampton Wanderers,17.0,39.0,12.0,3.0,2.0,35.0,11.0,17.0,34.0,11.0,1.0,5.0,25.0,17.0,34.0,73.0,23.0,4.0,7.0,28.0,60.0,32.0,2.1470588235294117,0.11764705882352941,0.20588235294117646,0.9411764705882353,1.7647058823529411,0.8235294117647058,24.0,8.0,0.7058823529411765,0.6470588235294118,0.6764705882352942,1,0.9867914200785076
2018/19,Manchester City,30.0,79.0,26.0,1.0,3.0,94.0,36.0,29.0,53.0,16.0,5.0,8.0,50.0,31.0,59.0,132.0,42.0,6.0,11.0,67.0,144.0,77.0,2.23728813559322,0.1016949152542373,0.1864406779661017,1.305084745762712,2.440677966101695,1.1355932203389831,58.0,19.0,0.8666666666666667,0.5517241379310345,0.711864406779661,1,0.9746696529372392
2019/20,Liverpool,31.0,80.0,25.0,5.0,1.0,87.0,34.0,29.0,53.0,16.0,5.0,8.0,43.0,39.0,60.0,133.0,41.0,10.0,9.0,73.0,130.0,57.0,2.216666666666667,0.16666666666666666,0.15,0.95,2.1666666666666665,1.2166666666666666,53.0,4.0,0.8064516129032258,0.5517241379310345,0.6833333333333333,1,0.983059075895418
2020/21,Manchester City,30.0,65.0,20.0,5.0,5.0,75.0,30.0,33.0,77.0,24.0,5.0,4.0,75.0,29.0,63.0,142.0,44.0,10.0,9.0,59.0,150.0,91.0,2.253968253968254,0.15873015873015872,0.14285714285714285,1.4444444444444444,2.380952380952381,0.9365079365079365,45.0,46.0,0.6666666666666666,0.7272727272727273,0.6984126984126984,1,0.9807599429421778
